dxyGGb4iN9Cs9aMZTKQpJeoiQfruM	techcrunch.com	b	http://techcrunch.com/ http://techcrunch.com/2014/03/10/ebay-asks-shareholders-to-vote-against-paypal-split-while-icahn-claims-ceo-incompetence-cost-4b/ 
dgrugNy8JhKGJpM4mzHwu-gX3uV9M	www.huffingtonpost.co.uk	e	http://www.huffingtonpost.co.uk/news/keeping-up-with-the-kardashians/ http://www.huffingtonpost.co.uk/2014/03/13/kim-kardashian-instagram-selfie-kylie-jenner-bikini_n_4954578.html 
du3PwEfDlmf0i-MJTpQT-huxMVZXM	news.cnet.com	b	http://news.cnet.com/8300-5_3-0.html?categoryId=9823097 http://news.cnet.com/8301-1023_3-57620257-93/candy-crush-the-one-hit-wonder-worth-billions/ 
dxyGGb4iN9Cs9aMZTKQpJeoiQfruM	www.bnn.ca	b	http://www.bnn.ca/news http://www.bnn.ca/News/2014/3/10/EBay-asks-shareholders-to-vote-against-Icahn-board-nominees.aspx 
dxyGGb4iN9Cs9aMZTKQpJeoiQfruM	www.bnn.ca	b	http://www.bnn.ca/News/News-Listing.aspx?Sector=Investing http://www.bnn.ca/News/2014/3/10/EBay-asks-shareholders-to-vote-against-Icahn-board-nominees.aspx 
dwZ1PHdiGZX4z-M0w5bU_YumWfnlM	247wallst.com	b	http://247wallst.com/services/ http://247wallst.com/services/2014/03/17/hertz-spin-off-news-gives-stock-a-needed-boost/ 
dxyGGb4iN9Cs9aMZTKQpJeoiQfruM	www.cityam.com	b	http://www.cityam.com/News http://www.cityam.com/blog/1394460724/carl-icahn-slams-ebay-ceo 
dcUi_tozcV8IVYMu2RDB6xMbrI6HM	www.techradar.com	e	http://www.techradar.com/tag/Streaming http://www.techradar.com/news/internet/twitter-music-goes-the-way-of-the-dodo-will-officially-shut-down-next-month-1236210 
dooSjpukd6ZYBKMv-Zm0Kcuh7b5LM	variety.com	e	http://variety.com/t/paul-walker/ http://variety.com/2014/film/news/fast-and-furious-7-to-resume-shooting-in-abu-dhabi-in-april-1201131230/ 
d__jcKruuebDhTMfkhbUJpI3MBjEM	reason.com	b	http://reason.com/people/matthew-feeney/all http://reason.com/24-7/2014/03/10/colorado-county-reports-1-million-in-leg 
